foldername|placemark|reportid|reportdesc|county|reportdate|lng|lat
August 2013|August 2013|Report 42120|Possible nighttime sighting while camping on a farm on a foggy night near Nashville|Holmes County|2013-08-24|-82.16943|40.60291
December 2013|December 2013|Report 43407|Possible daytime road crossing on SR 32 near Jasper|Pike County|2013-12-24|-83.07492|39.05922
March 1995|March 1995|Report 44066|Night fishermen recall possible encounters near Dillon State Park|Muskingum County|1995-03-11|-82.14536|40.04603
February 2014|February 2014|Report 44173|Possible tracks found by a man and his dog at a rest stop near Piketon|Scioto County|2014-02-14|-83.02551|38.9506
February 2014|February 2014|Report 44262|Possible daylight sighting by a couple at Geneva-on-the-Lake State Park|Ashtabula County|2014-02-15|-80.96186|41.85256
December 2014|December 2014|Report 47305|Bow hunter hears possible vocalizations and wood knocks in the East Fork Wilderness Area near Williamsburg|Clermont County|2014-12-07|-84.08533|39.01569
November 1999|November 1999|Report 1300|12-14 tracks found by two friends after they felt like they were being  stalked  by something unknown while deer hunting.|Le Flore County|1999-11-28|-95.04778|34.75139
1942|1942|Report 1303|Sisters observe tall hairy creature running away from them|Harmon County|1942-04-01|-99.81514|34.73153
February 2000|February 2000|Report 1888|Strange calls and other possible bigfoot related activity experienced by investigators.|Le Flore County|2001-04-22|-94.93722|34.53889
1980's|1980's|Report 1966|May/June 83/84 Oklahoma Leflore|Le Flore County|2001-03-20|-94.63111|34.84167
September 1995|September 1995|Report 2353|Large unseen creature intimidates fishermen|Cleveland County|1995-09-01|-97.24139|35.21111
April 2000|April 2000|Report 2386|Unusual screams and thrashing sounds heard by 3 fishermen|Delaware County|2000-04-04|-94.92667|36.4075
1977|1977|Report 2789|Camper says a sasquatch entered a cabin of sleeping girls.|Latimer County|1977-07-15|-95.34111|35.00278
October 1971|October 1971|Report 2909|Deer kill stash discovered after bigfoot sighting|Le Flore County|1971-10-25|-94.96639|34.72195
October 2001|October 2001|Report 3199|BFRO investigator hears loud footsteps and bipedal running|Le Flore County|2001-10-02|-94.70278|34.52667
October 2001|October 2001|Report 3240|Father and son observe hand print and footprints near old logging road|McCurtain County|2001-10-19|-94.60042|34.45195
April 2004|April 2004|Report 8811|Footprints found near Honobia|Le Flore County|2004-04-02|-94.91928|34.52436
October 2004|October 2004|Report 9853|While camping, couple hears repeated strange, night time vocalizations|Le Flore County|2004-11-27|-94.685|34.695
February 2005|February 2005|Report 10422|Local family reports huge tracks near Big Cedar.|Le Flore County|2005-02-14|-94.575|34.64583
April 2008|April 2008|Report 23628|Possible tracks found in yard north of VIan|Sequoyah County|2008-04-18|-94.98001|35.56637
August 2008|August 2008|Report 24682|Hikers hear possible vocalizations throughout the night near Cedar Lake|Le Flore County|2008-08-31|-94.7264|34.73966
January 2007|January 2007|Report 24967|Off-duty law enforcement officers describe vocalizations, wood knocks, and rock throwning, outside the town of Heavener|Le Flore County|2007-01-17|-94.7297|34.74338
October 2009|October 2009|Report 26711|Couple witness a possible juvenile running on all fours in Smithville|Le Flore County|2009-10-01|-94.49968|34.49108
June 2010|June 2010|Report 30150|Tall dark figure seen during the daytime at the Lake Elmer Thomas Recreational Area|Comanche County|2010-06-03|-99|35
November 2011|November 2011|Report 32689|Possible vocalizations and rock throwing encounter near Albion|Pushmataha County|2011-11-24|-95.11875|34.6021
April 2012|April 2012|Report 35188|Possible daytime sighting behind a home outside Anadarko|Caddo County|2012-04-26|-98.24586|35.08344
September 2012|September 2012|Report 36643|Family has possible encounter at Cedar Lake Equestrian Camp|Le Flore County|2012-09-15|-94.66875|34.8146
October 1982|October 1982|Report 40280|Memory told of a possible encounter that ends a camping trip early near Park Hill|Cherokee County|1982-10-01|-94.77699|35.50285
August 1983|August 1983|Report 80|Late Arriving Campers Hear Running, Stomping, Shrieking, Howling|Lane County|1983-08-12|-122.3755|43.69005
June 2000|June 2000|Report 85|16 year old has strange experience walking home|Clackamas County|2000-06-08|-122.4808|45.03255
June 1978|June 1978|Report 96|Young camper frightened by large hand gathering berries|Douglas County|1978-06-25|-123.9599|43.7827
August 2000|August 2000|Report 102|Couple hears unknown howl, later finds possible deformed track|Tillamook County|2000-08-19|-123.466|45.7351
March 1995|March 1995|Report 116|Possible Injured Juvenile on I-84 near Boardman|Morrow County|1995-03-31|-119.6389|45.83675
July 2000|July 2000|Report 187|Unusual vocalization heard near Sandy|Clackamas County|2000-07-22|-122.2777|45.40023
July 1999|July 1999|Report 206|Videocamera Accidently Captures Distant Bipedal Movement near Smith River Road|Lane County|1999-07-15|-123.455|43.7667
94 or 95|94 or 95|Report 412|Cousins followed for a quarter mile|Deschutes County|1995-07-05|-121.3815|43.94225
August  1998|August  1998|Report 455|Squaw Lake fisherman followed.  Unrecognized stench, knocking, and high pitch howl heard while fishing along lake shore|Klamath County|1998-08-15|-122.275|42.47
July 1991|July 1991|Report 624|Sounds heard at Skookum Lake.|Clackamas County|1991-07-04|-122.1647|44.99745
August 1993|August 1993|Report 657|A man and woman report smelling a strange, powerful odor while on a forest road late at night|Clackamas County|1993-08-02|-122.1631|44.9979
July 2000|July 2000|Report 1224|Possible movement and footsteps heard by women waiting in stranded vehicle|Lincoln County|2000-07-15|-123.7718|44.96651
October 1974|October 1974|Report 1446|Deer hunters find footprints near Wahtum Lake.|Hood River County|1974-10-01|-121.7745|45.5666
September 2000|September 2000|Report 1778|Three young hunters hear very loud scream across Diamond Peak Wilderness valley.|Lane County|2000-09-10|-122.0833|43.5883
March 2001|March 2001|Report 1986|Hikers make track find on Table Rock Creek, Oregon|Clackamas County|2001-03-18|-122.3057|44.97487
May 1997|May 1997|Report 2026|Campers hear vocalizations near Timberline Lodge|Clackamas County|1997-05-27|-121.7115|45.32301
September 1979-80|September 1979-80|Report 2274|Late night up-close encounter in the Umpqua Nat'l Forest|Douglas County|1980-09-01|-122.3759|43.20335
September mid 90s|September mid 90s|Report 2681|Hunters, father and son, find track on Wagner Peak|Jackson County|1995-09-23|-122.7465|42.08845
September 2001|September 2001|Report 3064|Bowhunter finds twisted trees, tracks, scat, &amp; unusual sounds|Polk County|2001-09-01|-123.6664|45.07072
September 2001|September 2001|Report 3148|Traveler hears eerie and strange scream while walking dog near Elsie|Clatsop County|2001-09-20|-123.625|45.70835
August 83  or 84|August 83  or 84|Report 3200|Man recounts being chased as a teen|Lane County|1983-08-12|-123.3724|44.09462
October 2001|October 2001|Report 3209|Track find by BFRO field researcher|Washington County|2001-10-14|-123.3601|45.76569
July 1989|July 1989|Report 3387|Vocalizations heard in Lookingglass|Douglas County|1989-07-01|-123.4911|43.16815
October 2000|October 2000|Report 3633|Hunters find track in mountains above Falls City|Polk County|2000-10-15|-123.4462|44.86875
August 2001|August 2001|Report 3766|Family finds prints and hears vocalizations in forest near Seaside|Clatsop County|2001-08-03|-123.9211|45.99378
1978|1978|Report 3780|So. Oregon man hears late night footsteps around mobile home, by Jump-off Joe Creek Rd. near Grants Pass|Josephine County|1978-10-01|-123.3322|42.56805
1979|1979|Report 3820|Sasquatch evidence near Mount McLoughlin|Jackson County|1979-10-01|-122.2328|42.4356
July 1994-96|July 1994-96|Report 4604|Daytime sighting by young camper at Lost Lake|Hood River County|1994-07-01|-121.8214|45.49805
July 2002|July 2002|Report 4644|Vocalizations heard by campers in Taylor Park|Marion County|2002-07-10|-122.5674|44.79307
October 2002|October 2002|Report 5053|Possible bigfoot encounter changes a mischievous teenager's plan|Multnomah County|2002-09-05|-122.2487|45.4684
September 1996|September 1996|Report 5242|Bow hunter has sighting near Little Boulder Lk. Mt. Hood Nat. Forest, OR|Hood River County|1996-09-15|-121.5684|45.25725
1977|1977|Report 5350|College students get approached by sasquatch and shoot at it|Marion County|1977-07-15|-122.2728|44.8623
December 2002|December 2002|Report 5650|Driver has early evening road sighting on Interstate 84 southeast of Pendleton|Umatilla County|2004-10-05|-118.6131|45.58982
1968|1968|Report 5816|Nighttime encounter by a worker at a logging site|Hood River County|1968-08-23|-121.886|45.2075
1970|1970|Report 6027|Heavy steps around tent in dark scare backpackers|Linn County|1970-08-15|-121.8165|44.6335
July 2003|July 2003|Report 6584|Vocalization heard in Call Meadow area|Harney County|2003-07-02|-118.8215|43.85975
July 2000|July 2000|Report 6655|Couple hears repetitive calls near Oregon Caves N. M|Josephine County|2000-07-30|-123.4043|42.09224
July 1978|July 1978|Report 6724|Two young campers have frightful, dawn encounter near Cave Junction|Josephine County|1978-07-01|-123.6481|42.16298
July 2003|July 2003|Report 6734|Family members encounter footprint|Polk County|2003-07-24|-123.5792|45.0487
September 1993|September 1993|Report 7148|Hunters find bower and footprints near lake|Washington County|1993-09-15|-123.2665|45.4915
July 2001|July 2001|Report 7209|Observer yells at dogs from window and hears return scream|Linn County|2001-07-15|-122.8494|44.6616
July 1980|July 1980|Report 7642|Two men find rockpiles, nest at Abiqua River|Marion County|1980-07-15|-122.7789|45.03575
1976|1976|Report 7658|Hiker encounters large footprints|Deschutes County|1976-05-15|-121.3338|44.1263
August 2003|August 2003|Report 7687|Lone camper hears vocalization|Grant County|2003-08-15|-118.5908|44.5385
1963-2002|1963-2002|Report 7785|Family in small boat hears animal retreating and finds prints|Deschutes County|1963-07-15|-121.8829|43.8628
73-75|73-75|Report 7954|Boater finds footprints on bank of Rogue River|Curry County|1975-09-15|-124.0255|42.6425
November 2003|November 2003|Report 7957|Two hunters hear repeated loud screams.|Columbia County|2003-11-09|-123.296|45.82565
July 1990|July 1990|Report 7967|Boaters on the Deschutes hear loud scream from bank|Deschutes County|1990-07-15|-121.6347|43.7151
August '73-'74?|August '73-'74?|Report 8621|Boy scout hears repeated screams|Wasco County|1974-08-15|-121.424|45.4051
July 1980|July 1980|Report 8680|Boys hear moaning call from bedroom window|Hood River County|1980-07-27|-121.6444|45.5775
June 2004|June 2004|Report 8888|Night time calls and footprints witnessed by several people northeast of Colton off Highway 211|Clackamas County|2004-06-20|-122.3803|45.1867
October 1991|October 1991|Report 8948|In the early morning, hunter observes rock throwing near Valsetz|Polk County|1991-10-15|-123.5834|44.8458
July 2004|July 2004|Report 9020|Camping family has auditory and olfactory encounter in early evening southeast of Dorena Lake|Lane County|2004-07-17|-122.8042|43.6583
August 2004|August 2004|Report 9204|While scouting, hunter hears morning vocalization west of Scappoose|Columbia County|2004-08-06|-122.9546|45.7492
August 2004|August 2004|Report 9276|Several tracks found near County dump for Bandon|Coos County|2004-08-21|-124.3688|43.1786
August 2004|August 2004|Report 9289|Elk hunter hears growl, finds footprints, feces.|Linn County|2004-08-31|-121.9683|44.4625
September 2004|September 2004|Report 9391|Campers are greeted by tree-shaking display in afternoon near Molalla River|Clackamas County|2004-09-26|-122.4|44.9633
September 2004|September 2004|Report 9534|Campers hear several types of early morning vocalizations near Diamond Lake|Douglas County|2004-09-28|-122.5541|43.296
June 2004|June 2004|Report 9547|Early morning vocalizations heard on three consecutive days|Clatsop County|2004-06-04|-123.5417|45.93701
November 1989|November 1989|Report 10034|Hunter hears wood-on-wood knocking|Crook County|1989-11-04|-120.2782|44.0639
July 1997|July 1997|Report 10324|Campers and their dogs are frightened by vocalizations|Grant County|1997-07-04|-118.7717|44.7751
March 2005|March 2005|Report 10928|Hikers hear growl, wood  knocking, have rock thrown at them.|Benton County|2005-03-13|-123.2433|44.6693
